No,Breeder Name,Breeder code,Breeder Website,Location Breeder,Contact
1,Unknown,XXX,,,
2,AO Aokiya,AOA,,,
3,Crown Fish,CFI,,,
4,Dainichi Koi Farm,DKF,,,
5,Dainichi Koi Farm Toyota,DKT,,,
6,Fukazawa Koi Farm,FKF,,,
7,Fujishima Nishikigoi Center,FNC,,,
8,Gonjiro,GON,,,
9,Hiroi Koi Farm,HIF,,,
10,HIgashisakai Kanshogyo,HIK,,,
11,Hoshikin Koi Farm,HKF,,,
12,Horikoshi Koi Farm,HOR,,,
13,Hosakai Koi Farm,HOS,,,
14,Igarashi Koi Farm,IKF,,,
15,Ikenaga Nishikigoi,INI,,,
16,Ippinya,IPP,,,
17,Isa Koi Farm,ISA,,,
18,Izumiya Koi Farm,IZK,,,
19,Izumiya,IZU,,,
20,Kachi Koi Farm,KAC,,,
21,Kanno Koi Farm,KAF,,,
22,Kawakami Koi Farm,KAW,,,
23,Koi Doraku,KDO,,,
24,Koidoraku,KDR,,,
25,Kaneko Koi Farm,KKF,,,
26,Koizumi Koi Farm,KKO,,,
27,Konichi Koi Farm,KNI,,,
28,Konishiki Koi Farm,KNK,,,
29,Koi No Minuma,KNM,,,
30,Konishi Koi Farm,KNS,,,
31,Koi No Yohei,KNY,,,
32,Koda Koi Farm,KOD,,,
33,Kondo Koi Farm,KON,,,
34,Koiwa Koi Farm,KOW,,,
35,Koshiji Koi Farm,KSJ,,,
36,Koisho Shiagenosato Shuya,KSS,,,
37,Mano Koi Farm,MAN,,,
38,Marudo Koi Farm,MAR,,,
39,Maruyama Koi Farm,MAY,,,
40,Migita Fish Farm,MFF,,,
41,Maruhide Koi Farm,MHD,,,
42,Maruhiro Koi Farm,MHI,,,
43,Minuma Koi Farm,MIK,,,
44,Marushin Koi Farm,MKF,,,
45,Mr. Kazuhiko Odawara,MKO,,,
46,Matsue Nishikigoi Farm,MNF,,,
47,Murata Nishikigoi,MNI,,,
48,Momotaro-Koi,MOK,,,
49,Marusaka Koi Farm,MRS,,,
50,Marujyu Koi Farm,MRU,,,
51,Marusei Koi Farm,MSE,,,
52,Muto Koi Farm,MUF,,,
53,Miyatora Koi Farm,MYA,,,
54,Nagashima Koi Farm,NAG,,,
55,Nagoshi Koi Farm,NAK,,,
56,Narita Koi Farm,NKF,,,
57,Nishikigoi Miyatake,NMI,,,
58,Nishiki Maruhide Koi Farm,NMK,,,
59,Nogami Koi Farm,NOK,,,
60,Oishi Koi Farm,OIK,,,
61,Ogata Koi Farm,OKF,,,
62,Omosako Koi Farm,OMF,,,
63,Okayama Momotaro Koi,OMK,,,
64,Ooya Koi Farm,OOK,,,
65,Otsuka Koi Farm,OTK,,,
66,Oya Koi Farm,OYF,,,
67,Ozumi Ikarashi Koi Farm,OZI,,,
68,Rikoen,RKE,,,
69,Sekine Fish Farm,SEF,,,
70,Segawa Koi Farm,SEG,,,
71,Sekiguchi Koi Farm,SEK,,,
72,Sakai Fish Farm,SFF,,,
73,Shinoda Koi Farm,SHK,,,
74,Sakazume Koi Farm,SKF,,,
75,Sakura Nishikigoi,SNI,,,
76,Suda Fish Farm,SUF,,,
77,Suzusei Koi Farm,SUZ,,,
78,Syotoku Nishikigoi Center,SYN,,,
79,Takachio Koi Farm,TAK,,,
80,Tamaura Fish Farm,TAM,,,
81,Tanaka Koi Farm,TAN,,,
82,Taniguchi Koi Farm,TGH,,,
83,Tendo Koi Farm,TKF,,,
84,Uonuma Koi Farm,UKF,,,
85,Uonuma Nishikigoi,UON,,,
86,Yagozen,YAG,,,
87,Yasuo Horikoshi,YAH,,,
88,Yamaguchi Nishikigoi,YAM,,,
89,Yagenji Koi Farm,YKF,,,
90,Yamasan Koi Farm,YMN,,,
91,Yasuma Yamada,YYA,,,
92,Torazo Farm,TRZ,,,
93,JDKC Farm,JDK,,,
94,Koi Palace,KOP,,,
95,Matsue Nishikigoi Center,MNC,,,
96,OYAMA Koi Farm,OYA,,,
97,Odakan Koi Farm,ODA,,,
98,Matsue Farm,MAF, ,,
99,Toyama Koi Farm,TOY,,,
100,Nishikigoi Koi Farm,NIS,,,
101,Niigata,NGT,,,
102,Sakai Co Koi Farm,SCK,,,
