No,KOI Code,Variation,Breeder,VariationID,BreederID,Bloodline,BloodlineID,MMYY,Sequence,Nickname,Variety ,Gender,Birth Year & Month,Age,Breeder,Purchase Date,Size (cm),updated date,update size (cm),Seller Agent,Handling Agent,Price Buy ( JPY ),Price Buy ( IDR ),Keeping Location,Link Photos,Link Video,Link Trophy,Link Certificate,Sell Price (IDR),Sell Price ( JPY),Date of Sell,Buyer Name,Date of Death,Death Note,
1,SHSOKF012300001,SHS,OKF,157,60,Isa,NULL,0123,00001,,Showa Sansoku,Unknown,Jun 2022,1,Ogata Koi Farm,Jan 2023,22,,,Pieth,,,,,SANOKF012300001.jpg,,,,,,,,,,
2,TKOOKF012300001,TKO,OKF,170,60,Sakai,NULL,0123,00001,,Tancho Kohaku,Female,Jun 2021,2,Ogata Koi Farm,Jan 2023,58,,,Pieth,,,,,TKOOKF012300001.jpg,,,,,,,,,,
3,SANOKF012300001,SAN,OKF,150,60,Isa,NULL,0123,00001,,Sanke,Unknown,Jun 2022,1,Ogata Koi Farm,Jan 2023,22,,,Pieth,,,,,TAIOKF012300001.jpg,,,,,,,,,,
4,GOOOKF012300001,GOO,OKF,73,60,Black budo,NULL,0123,00001,,Goromo,Unknown,Jun 2022,1,Ogata Koi Farm,Jan 2023,21,,,Pieth,,,,,GOOOKF012300001.jpg,,,,,,,,,,
5,KAUMOK012300001,KAU,MOK,97,47,,NULL,0123,00001,,Kohaku,Unknown,Jun 2022,1,Momotaro koi,Jan 2023,25,,,Pieth,,140000,,,KAUMOK012300002.jpg,,,,,,,,,,
6,SANMOK012300001,SAN,MOK,150,47,American Dream,17,0123,00001,,Sanke,Unknown,Jun 2022,1,Momotaro koi,Jan 2023,27,,,Pieth,,20000,,,SANMOK012300001.PNG,,,,,,,,,,
7,KAUMOK012300002,KAU,MOK,97,47,,NULL,0123,00002,,Kohaku,Unknown,,,Momotaro koi,Jan 2023,25,,,Pieth,,20000,,,KAUMOK012300002.jpg,,,,,,,,,,
8,KAUMOK012300003,KAU,MOK,97,47,,NULL,0123,00003,,Kohaku,Unknown,Jun 2022,1,Momotaro koi,Jan 2023,25,,,Pieth,,20000,,,KAUMOK012300003.PNG,,,,,,,,,,
9,KAUMOK012300004,KAU,MOK,97,47,,NULL,0123,00004,,Kohaku,Unknown,Jun 2022,1,Momotaro koi,Jan 2023,19,,,Pieth,,50000,,,KAUMOK012300004.PNG,,,,,,,,,,
10,KAUMOK012300005,KAU,MOK,97,47,,NULL,0123,00005,,Kohaku,Unknown,Jun 2022,1,Momotaro koi,Jan 2023,24,,,Pieth,,20000,,,KAUMOK012300005.PNG,,,,,,,,,,
