ID,Variety Name,Variety Code,,,
1,Asagi,ASI,,,
2,Asagi Ginrin,AGI,,,
3,Aka Matsuba,AMA,,,
4,Bekko,BBB,,,
5,Black Diamond,BDI,,,
6,Benigoi Ginrin,BEG,,,
7,Benigoi,BEN,,,
8,Benikiko,BEO,,,
9,Beni Ginga,BGI,,,
10,Budo Goromo,BGO,,,
11,Beni Karashi,BKA,,,
12,Beni Kikokuryu,BKI,,,
13,Beni Kumonryu,BKU,,,
14,Botan,BOT,,,
15,Black Zeus,BZE,,,
16,Chagoi,CHA,,,
17,Chagoi Ginrin,CHG,,,Aka Matsuba
18,Chagoi Karashi,CKA,,,Asagi
19,Chagoi Metalic,CME,,,Asagi Ginrin
20,Doitsu Kohaku,DKO,,,Bekko
21,Doitsu Kin Showa,DKS,,,Beni Ginga
22,Doitsu Kujaku,DKU,,,Beni Karashi
23,Doitsu Chagoi,DOC,,,Beni Kikokuryu
24,Doitsu Goshiki,DOG,,,Beni Kumonryu
25,Doitsu,DOI,,,Benigoi
26,Doitsu Kabuto,DOK,,,Benigoi Ginrin
27,Doitsu Metallic Ochiba,DMO,,,Black Diamond
28,Doitsu Ochiba,DOO,,,Black Zeus
29,Doitsu Platinum,DOP,,,Budo Goro
30,Doitsu Sanke,DSA,,,
31,Doitsu Shiro,DSI,,,
32,Doitsu Showa,DSH,,,
33,Gin Kikokuryu,GKI,,,
34,Gin Matsuba,GMA,,,
35,Gin Shiro,GSH,,,
36,Ginrin Asagi,GAS,,,
37,Ginrin Bekko,GBE,,,
38,Ginrin Beni Ginga,GBG,,,
39,Ginrin Benigoi,GBI,,,
40,Ginrin Cagoi,GCA,,,
41,Ginrin Chagoi,GCH,,,
42,Ginrin Goshiki,GGO,,,
43,Ginrin Hajiro,GHA,,,
44,Ginrin Hi Utsuri,GHU,,,
45,Ginrin Hikarimuji,GHI,,,
46,Ginrin Kabuto,GKO,,,
47,Ginrin Kanoko Asagi,GKS,,,
48,Ginrin Kanoko Yuki Asagi,GKY,,,
49,Ginrin Kawari,GKA,,,
50,Ginrin Kawarigoi,GKI,,,
51,Ginrin Ki Utsuri,GKU,,,
52,Ginrin Kin Ki Utsuri,GKK,,,
53,Ginrin Kohaku,GKO,,,
54,Ginrin Matsukawabake,GMA,,,
55,Ginrin Ochiba,GOA,,,
56,Ginrin Ociba,GOC,,,
57,Ginrin Ogon,GOG,,,
58,Ginrin Orenji,GOR,,,
59,Ginrin Platinum,GPL,,,
60,Ginrin Platinum Ogon,GPO,,,
61,Ginrin Sanke,GSA,,,
62,Ginrin Shiro,GSH,,,
63,Ginrin Shiroutsuri,GSI,,,
64,Ginrin Showa,GSW,,,
65,Ginrin Soragoi,GSO,,,
66,Ginrin Tancho,GTA,,,
67,Ginrin Tancho Goshiki,GTG,,,
68,Ginrin Tancho Sanke,GTS,,,
69,Ginrin Tancho Showa,GTW,,,
70,Ginrin Yelow Magic,GYM,,,
71,Ginrin Yuki Asagi,GYA,,,
72,Golden Corn,GCO,,,
73,Goromo,GOO,,,
74,Goshiki,GOI,,,
75,Hajiro,HAJ,,,
76,Hariwake,HAR,,,
77,Hesey Nishiki,HNI,,,
78,Heseynishiki,HSI,,,
79,Hi Ki Utsuri,HKU,,,
80,Hi Utsuri,HUI,,,
81,Hi Utsuri Ginrin,HUG,,,
82,Hikari Mono,HMO,,,
83,Hikari Moyomono,HMY,,,
84,Hikari Mujimono,HMJ,,,
85,Hikari Utsurimono,HUT,,,
86,Kabuto,KBT,,,
87,Kage Hi Utsuri,KHU,,,
88,Kanoko Asagi,KAS,,,
89,Kanoko Kohaku,KOH,,,
90,Kanoko Koromo,KOR,,,
91,Kanoko Yuki Asagi,KYA,,,
92,Karashi,KRH,,,
93,Karashi Ginrin,KGI,,,
94,Karashi Goi,KGO,,,
95,Karashi Koyo,KKO,,,
96,Karashi Metallic,KME,,,
97,Karasu,KAU,,,
98,Kawari,KWI,,,
99,Kawari Asagi,KAS,,,
100,Kawari Ginrin,KGI,,,
101,Kawari Mono,KMO,,,
102,Kawari Ochiba,KOC,,,
103,Kawarigoi Ginrin,KGI,,,
104,Ki Matsuba,KMA,,,
105,Ki Utsuri,KIU,,,
106,Kikusui,KKU,,,
